a-danca-do-bumbum	 "Cheguei, hein ! Estou no Paraíso!Que abundancia meu irmão!"Conheci uma menina que veio do sulPra dançar o tchan e a dança do tchu tchuDeu em cima, deu em baixo, na dança do tchacoE na garrafinha deu uma raladinhaAgora o Gera Samba mostra pra vocêsA dança do bumbum que pegou de uma vezBota a mão no joelhoE da uma baixadinhaVai mexendo gostoso,Balancando a bundinhaAgora mexe vai, Mexe, mexe mainhaAgora mexe, Mexe, mexe lourinhaAgora mexe, Mexe, mexe neguinhaAgora mexe Balancando a poupancinhaMexe, mexe, pro ladoMede, mexe, pro outroVai mexendo embaixoVai mexendo gostosoVai no sapatinho, vaiRemexendo gostosinho, vai"Ah, que beleza, que maravilha, isso eh magnifico, mãe!" 
a-felicidade	 Tristeza não tem fim Felicidade, sim...A felicidade é como a pluma Que o vento vai levando pelo ar Voa tão leve Mas tem a vida breve Precisa que haja vento sem parar... A felicidade do pobre parece A grande ilusão do carnavalA gente trabalha o ano inteiro Por um momento do sonho Pra fazer a fantasia de rei, ou pirata, ou jardineira E tudo se acabar na quarta-feira Tristeza não tem fim Felicidade, sim...A felicidade é como a gota de orvalho Numa pétala de flor Brilha tranqüila Depois de leve oscila E cai como uma lágrima de amor A minha felicidade está brilhando Nos olhos da minha namorada É como esta noite Passando, passando Em busca da madrugada Falem baixo por favor Pra que ela acorde alegre como o dia Oferecendo beijos do amor Tristeza nao tem fimFelicidade, sim... 
a-ferro-e-fogo	 A ferro e fogo não dáCom tanta indiferença vendo a vida passarTropeços e tropeços, pedras no meu caminhoFoi só um jogo de azarPalavras e palavras se perderam no arTão perto dos seus olhosLonge dos seus carinhosPor Deus, tudo acabou!Eu já não aguentava maisViver como eu viviSofrer como eu sofriFoi longe até demaisSozinho vai ser bem melhorPra que remediar o fim?É bem melhor perder, se nada faz doerComo está doendo em mim 
a-festa-de-santos-reis	 Hoje é o dia de Santo ReisAnda meio esquecidoMas é o dia da festaDe Santo ReisHoje é o dia de Santo ReisAnda meio esquisitoMas é o dia da festaDe Santo Reis...Eles chegam tocandoSanfona e violãoOs pandeiros de fitaCarregam sempre na mãoEles vão levandoLevando o que podeSe deixar com elesEles levam até os bodes...É os bodes da genteÉ os bodes, méééÉ os bodes da genteÉ os bodes, mééé...Hoje é o dia de Santo ReisHoje é o dia de Santo ReisHoje é o dia, hié! hié!De Santo ReisHoje é o dia de Santo ReisÉ o dia da festa, hié! hié!..(3x) 
loving-every-minute	 You told me not to make you waitThen you don't call for daysYou told me not to be too lateThen you don't come to meHow many times you gonna let me down?You're keeping me hanging on I sayI'm wrapped around your fingerNever believed that if I find myselfLooking up to the upper hand andLoving every minuteI won't mind, ain't gonna give up as long as IKnow my own mind, don't wanna quit after all this time(x2)Totally lost the way you cameRainbow coloured dayOpened out the way you changedAnd then it all starts to fadeHow many times you gonna let me down?You're keeping me hanging on I sayI'm wrapped around your fingerNever believed that if I find myselfLooking up to the upper hand andLoving every minuteI won't mind, ain't gonna give up as long as IKnow my own mind, don't wanna quit after all this time(x2)How many times you gonna let me down?You're keeping me hanging on I sayI'm wrapped around your fingerNever believed that if I find myselfLooking up to the upper hand andLoving every minuteI won't mind, ain't gonna give up as long as IKnow my own mind, don't wanna quit after all this time(x2) 
low	 Shawty had them Apple Bottom Jeans (jeans)Boots with the fur (with the fur)The whole club was lookin at herShe hit the floor (she hit the floor)Next thing you knowShawty got low low low low low low low lowThem baggy sweat pantsAnd the Reeboks with the straps (with the straps)She turned around and gave that big booty a smack (hey)She hit the floor (she hit the floor)Next thing you knowShawty got low low low low low low low lowI ain't never seen nuthin that'll make me go,this crazy all night spendin my doughHad a million dollar vibe and a bottle to goDem birthday cakes, they stole the showSo sexual, she was flexibleProfessional, drinkin X and ohHold up wait a minute, do I see what I think IWhoaDid I think I seen shorty get lowAin't the same when it's up that closeMake it rain, I'm makin it snowWork the pole, I got the bank rollImma say that I prefer them no clothesI'm into that, I love women exposedShe threw it back at me, I gave her moreCash ain't a problem, I know where it goesShe had themApple Bottom Jeans (jeans)Boots with the fur (with the fur)The whole club was lookin at herShe hit the floor (she hit the floor)Next thing you knowShawty got low low low low low low low lowThem baggy sweat pantsAnd the Reeboks with the straps (with the straps)She turned around and gave that big booty a smack (hey)She hit the floor (she hit the floor)Next thing you knowShawty got low low low low low low low lowHeyShawty what I gotta do to get you homeMy jeans full of gwapAnd they ready for ShonesCadillacs Maybachs for the sexy grownPatrone on the rocks that'll make you moanOne stack (come on)Two stacks (come on)Three stacks (come on, now that's three grand)What you think I'm playin baby girlI'm the man, I'll bend the rubber bandsThat's what I told her, her legs on my shoulderI knew it was over, that Henny and ColaGot me like a SoldierShe ready for Rover, I couldn't control herSo lucky oo me, I was just like a cloverShorty was hot like a toasterSorry but I had to fold her,Like a pornography posterShe showed herApple Bottom Jeans (jeans)Boots with the fur (with the fur)The whole club was lookin at herShe hit the floor (she hit the floor)Next thing you knowShawty got low low low low low low low lowThem baggy sweat pantsAnd the Reeboks with the straps (with the straps)She turned around and gave that big booty a smack (hey)She hit the floor (she hit the floor)Next thing you knowShawty got low low low low low low low lowWhoaShawtyYeah she was worth the moneyLil mama took my cash,and I ain't want it back,The way she bit that rag,got her them paper stacks,Tattoo above her crack,I had to handle that,I was on it, sexy woman, let me showninThey be want it two in the morninI'm zonin in them rosay bottles foaminShe wouldn't stop, made it dropShorty did that pop and lock,Had to break her off that gwapApple Bottom Jeans (jeans)Boots with the fur (with the fur)The whole club was lookin at herShe hit the floor (she hit the floor)Next thing you knowShawty got low low low low low low low lowThem baggy sweat pantsAnd the Reeboks with the straps (with the straps)She turned around and gave that big booty a smack (hey)She hit the floor (she hit the floor)Next thing you knowShawty got low low low low low low low low 
lua-e-estrela	 Menina do anel de lua e estrelaRaios de sol no céu da cidadeBrilho da lua oh oh oh, noite é bem tardePenso em você, fico com saudadeManhã chegandoLuzes morrendo, nesse espelhoQue é nossa cidadeQuem é você, oh oh oh qual o seu nomeConta pra mim, diz como eu te encontroMas deixa o destino, deixe ao acasoQuem sabe eu te encontroDe noite no BaixoBrilho da lua oh oh oh, noite é bem tardePenso em você, fico com saudade 
lua-e-flor	 Eu amavaComo amava algum cantorDe qualquer clichêDe cabaré, de lua e florEu sonhava como a feiaNa vitrineComo cartaQue se assina em vãoEu amavaComo amava um sonhadorSem saber porquêE amava ter no coraçãoA certeza ventilada de poesiaDe que o dia, amanhece nãoEu amavaComo amava um pescadorQue se encanta maisCom a rede que com o marEu amava, como jamais poderiaSe soubesse como te encontrarEu amavaComo amava algum cantorDe qualquer clichêDe cabaré, de lua e florEu sonhava como a feiaNa vitrineComo cartaQue se assina em vãoEu amavaComo amava um pescadorQue se encanta maisCom a rede que com o marEu amava como jamais poderiaSe soubesse como te encontrar 
lua-my-love	 Eu sei onde nasce a luaEu sei onde ela repousaSó eu sei como agitá-laSó eu ouço: meu bem, não ousaEla se apronta pra mimNo espelho me pisca o olhoPassando aquele batomEu digo às nuvens: deixa que eu escolhoSe olha e me diz: sou cheiaPreciso minguar um poucoLhe digo: pra mim tás novaSe cresces então ficou loucoEla me entende e se molhaMe orvalha o corpo e a almaMe olha e sente o meu fogoSussurra: meu bem, vá com mais calma... 
lucidez	 UeraiaUeraraue... ueraia...Por favor Não me olhe assimSe não For viver só para mimAliás Se isto aconteceuTanto faz Já me fiz por merecerMas cuidado não vá se entregarNosso caso não pode vazarÉ tão bom se quererSem saber como vai ter..mi..narOnde a lucidez se aninharPode deixar Quando a solidão apertarOlhe pro lado Olhe pro ladoQue eu estarei por lá 
